ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"185.92.222.127","elite","AS20473","NL","The Constant Company, LLC","10","Vultr Holdings LLC Amsterdam","9100","socks5","5209","1","2024-01-29T03:43:49.042Z","98","5796","5915"
"200.140.83.108","elite","AS8167","BR","V tal","253","V tal","6588","socks5","1415","1","2024-01-29T03:43:49.040Z","99","5759","5809"
"178.62.223.104","elite","AS14061","NL","DigitalOcean, LLC","12","Digital Ocean","80","socks4","3611","1","2024-01-29T03:43:49.038Z","100","5808","5810"
"162.255.108.5","elite","AS54755","US","Desert Winds Wireless","152","Desert Winds Wireless Inc","5678","socks4","2295","1","2024-01-29T03:43:49.036Z","100","5926","5943"
"107.173.185.72","elite","AS36352","US","ColoCrossing","88","ColoCrossing","80","socks5","5187","1","2024-01-29T03:43:49.044Z","100","5873","5887"
"66.97.37.164","elite","AS27823","AR","Dattatec.com","292","Dattatec Corp","80","socks4","3795","1","2024-01-29T03:43:49.039Z","100","5890","5904"
"103.83.105.167","elite","AS134290","IN","Arrow Touch Wireless Internet Private Limited","253","Arrow Touch Wireless Internet Private Limited","4153","socks4","3906","1","2024-01-29T03:43:45.532Z","93","5418","5847"
"114.103.79.158","elite","AS4134","CN","Chinanet","190","Chinanet AH","53309","socks4","2311","1","2024-01-29T03:43:45.440Z","23","1338","5845"
"103.122.84.27","elite","AS136315","IN","Wizone Tech Solutions Pvt Ltd","183","Wizone Tech Solutions Pvt Ltd","5678","socks4","5095","1","2024-01-29T03:43:45.530Z","67","3988","5959"
"185.123.235.92","elite","AS49924","IT","ECROM-MAIN","75","N/A","5678","socks4","4886","1","2024-01-29T03:43:45.637Z","79","4598","5853"
"116.90.229.186","elite","AS24550","NP","Websurfer Nepal Communication System Pvt. Ltd","165","Websurfer Nepal Communication System Pvt. Ltd","47694","socks4","3102","81","2024-01-29T03:43:45.441Z","97","5618","5776"
"185.105.237.11","elite","AS212248","IR","Abolfazl-Shirdel","12","Amnpardaz Soft Corporation","3128","socks5","5296","1","2024-01-29T03:43:42.032Z","100","5802","5823"
"185.238.159.9","elite","AS204809","IT","Maide srl","52","Assopctech","32456","socks4","4305","1","2024-01-29T03:43:41.838Z","41","2477","5969"
"123.59.100.247","elite","AS23724","CN","CloudVsp.Inc","199","N/A","1080","socks4","1693","81","2024-01-29T03:43:41.840Z","84","4964","5906"
"125.164.149.210","elite","AS7713","ID","PT. TELKOM INDONESIA","182","N/A","5678","socks4","5403","1","2024-01-29T03:43:41.932Z","86","5067","5924"
"103.47.93.228","elite","AS134058","IN","Broban Internet Services Pvt.ltd","284","Broban  PVT Ltd.","1080","socks4","3801","1","2024-01-29T03:43:41.842Z","99","5775","5827"
"201.20.79.18","elite","AS28598","BR","MOB SERVICOS DE TELECOMUNICACOES S.A","177","Betânia Lácteos S/A","5678","socks5","3611","1","2024-01-29T03:43:41.928Z","100","5752","5768"
"116.58.227.224","elite","AS131090","TH","CAT Telecom Public Company Limited","230","CAT BB","4145","socks4","2589","1","2024-01-29T03:43:41.841Z","80","4675","5843"
"197.234.13.62","elite","AS36902","SC","Intelvision","171","Intelvision Ltd","4145","socks4","1395","1","2024-01-29T03:43:38.439Z","99","5892","5929"
"103.4.118.130","elite","AS38203","BD","ADN Telecom Ltd.","295","ADN Telecom Limited.","5678","socks4","5200","1","2024-01-29T03:43:38.440Z","88","5203","5911"
"47.242.149.229","elite","AS45102","HK","Alibaba.com LLC","297","Hong Kong","443","socks5","4096","1","2024-01-29T03:43:38.444Z","84","4866","5784"
"113.121.66.250","elite","AS4134","CN","Chinanet","203","Chinanet SD","1080","socks5","2583","1","2024-01-29T03:43:38.444Z","50","2922","5830"
"163.53.205.161","elite","AS58898","IN","Rainbow communications India Pvt Ltd","169","Rainbow communications India Pvt Ltd","4153","socks4","3698","1","2024-01-29T03:43:35.037Z","100","5901","5925"
"173.255.199.69","elite","AS63949","US","Akamai Technologies, Inc.","112","Linode","19151","socks5","5199","1","2024-01-29T03:43:35.042Z","89","5238","5888"
"103.120.133.141","elite","AS38235","KH","Angkor Data Communication","183","Mekongnet PLN","5678","socks4","1406","1","2024-01-29T03:43:35.139Z","99","5715","5798"
"186.251.255.209","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","201","Seanet Telecom Carazinho Eireli","26751","socks4","3285","1","2024-01-29T03:43:35.034Z","99","5912","5944"
"38.127.179.236","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","2093","socks5","1093","1","2024-01-29T03:43:35.140Z","100","5828","5834"
"45.112.125.51","elite","AS58369","ID","FIBERNET","164","N/A","4145","socks4","4408","2","2024-01-29T03:43:33.906Z","99","5830","5893"
